USER_ID,SIGNUP_DATE,SIGNUP_MONTH,COUNTRY,AGE,AGE_BUCKET,GENDER,PLAN_TYPE,TOTAL_EVENTS,ACTIVE_DAYS,ENGAGEMENT_EVENTS,FIRST_EVENT_DATE,LAST_EVENT_DATE,EVENTS_LAST_30D,EVENTS_LAST_7D,NUM_SUBSCRIPTIONS,TOTAL_REVENUE,LAST_SUB_START,LAST_SUB_END,HAS_ACTIVE_SUB,NUM_SURVEYS,NO_SURVEY_FLAG,AVG_NPS_SCORE,AVG_CSAT_0_TO_10,PCT_PROMOTER,PCT_DETRACTOR,PCT_WITH_MEANINGFUL_COMMENT,LAST_SURVEY_DATE,EXPERIMENT_VARIANT,IS_TREATMENT,LABEL_LAST_EVENT_DATE,LABEL_LAST_SUB_END,DAYS_SINCE_LAST_EVENT,CHURNED
e6f4ffdf-f21a-4ef9-b67c-f7888f51f231,2024-06-29,2024-06-01,MEXICO,36,35-44,female,free,48,47,41,2022-12-20,2025-01-23,1,1,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-23,,0,0
5cdc1895-cf76-460e-b19f-5edea429fb4d,2023-03-29,2023-03-01,CANADA,16,18-24,nonbinary,basic,48,46,39,2022-12-15,2025-01-29,6,5,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,control,0,2025-01-29,,0,0
27d4a92c-8f72-48e7-bab3-b43800bfef29,2024-07-19,2024-07-01,CANADA,32,25-34,prefer_not_to_say,free,34,32,31,2023-02-09,2025-01-17,3,2,1,15,2023-02-18,2023-03-20,1,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,control,0,2025-01-17,2023-03-20,0,1
5c8a6feb-1087-49a0-a544-54a04fd5ce70,2024-05-23,2024-05-01,MEXICO,35,35-44,female,free,46,46,37,2022-12-14,2025-01-29,5,4,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,control,0,2025-01-29,,0,0
531e5a15-f042-4e23-9236-023980c1fa2b,2023-05-23,2023-05-01,UK,25,25-34,female,free,46,43,39,2022-12-14,2025-01-30,3,2,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-30,,0,0
a2578ccc-9f01-4d50-a45c-4d4f7295d644,2024-04-26,2024-04-01,CANADA,32,25-34,nonbinary,free,40,40,28,2022-12-05,2025-01-29,3,3,1,0,2023-03-23,2023-04-22,1,1,0,3.000000,0.0000000,0.000000,1.000000,1.000000,2024-04-16,no_experiment,0,2025-01-29,2023-04-22,0,1
cdded186-4275-414a-b60a-e2e812bb868e,2023-12-06,2023-12-01,USA,,unknown,prefer_not_to_say,free,46,45,38,2022-12-18,2025-01-01,6,1,0,0,,,0,1,0,6.000000,0.0000000,0.000000,1.000000,1.000000,2024-07-03,no_experiment,0,2025-01-01,,0,0
dcc9a08d-ccce-474d-84f5-4ee1e6472bb2,2023-10-27,2023-10-01,CANADA,40,35-44,nonbinary,free,26,25,23,2022-12-06,2024-11-28,0,0,2,60,2023-12-11,2024-11-19,1,1,0,0.000000,10.0000000,0.000000,1.000000,1.000000,2024-11-19,control,0,2024-11-28,2024-11-19,33,0
92e12be6-e22a-4c3c-9e89-a3cfd96574c9,2024-08-16,2024-08-01,USA,31,25-34,male,premium,39,38,30,2022-12-16,2025-01-30,1,1,0,0,,,0,1,0,0.000000,0.0000000,0.000000,1.000000,1.000000,2024-03-16,no_experiment,0,2025-01-30,,0,0
2db3d4e8-d466-4291-88a7-4e4608d210a7,2023-05-08,2023-05-01,MEXICO,22,18-24,prefer_not_to_say,premium,40,39,33,2022-12-25,2025-01-23,2,2,0,0,,,0,1,0,0.000000,10.0000000,0.000000,0.000000,1.000000,2024-01-18,no_experiment,0,2025-01-23,,0,0
8a89c9a1-94c7-486c-a017-d6429468bc8f,2024-07-09,2024-07-01,UK,45,45-59,female,basic,26,26,21,2023-01-03,2025-01-07,4,2,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-07,,0,0
a6191703-7eb6-4111-82c4-62e4e739675a,2023-06-05,2023-06-01,MEXICO,26,25-34,male,free,42,40,32,2022-12-09,2025-01-27,4,1,1,0,2023-10-07,2023-11-06,1,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-27,2023-11-06,0,1
bb84a1bd-6781-4ef8-9dc0-9448fe37e3cb,2024-09-13,2024-09-01,MEXICO,20,18-24,female,free,40,39,34,2023-02-19,2025-01-29,5,5,2,40,2023-03-15,2023-04-14,1,1,0,4.000000,5.0000000,0.000000,1.000000,1.000000,2024-02-26,no_experiment,0,2025-01-29,2023-04-14,0,1
448dcf5a-2ad0-4564-959d-fe535a6b4275,2023-08-02,2023-08-01,MEXICO,40,35-44,prefer_not_to_say,free,43,40,34,2022-12-19,2025-01-28,4,3,2,25,2023-03-10,2023-03-29,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-28,2023-03-29,0,1
7251ade4-004e-4ae1-af12-c9936fd19613,2023-01-11,2023-01-01,CANADA,32,25-34,female,free,41,39,34,2022-12-05,2024-12-29,3,1,0,0,,,0,1,0,9.000000,0.0000000,1.000000,0.000000,1.000000,2024-09-16,no_experiment,0,2024-12-29,,2,0
c98c16b8-3e14-464e-a298-3ef1a541d9c7,2023-02-04,2023-02-01,MEXICO,48,45-59,nonbinary,premium,34,34,27,2022-12-02,2025-01-21,2,1,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-21,,0,0
a1cdcbab-7546-4616-beaa-41447d5ab6b7,2024-05-14,2024-05-01,MEXICO,,unknown,female,basic,38,37,34,2023-01-01,2025-01-26,4,3,2,30,2023-09-18,2023-10-18,0,1,0,1.000000,10.0000000,0.000000,1.000000,1.000000,2023-07-22,no_experiment,0,2025-01-26,2023-10-18,0,1
54c4c7cb-9eba-4b70-a398-0e7686075cc0,2023-02-24,2023-02-01,MEXICO,,unknown,prefer_not_to_say,basic,34,31,30,2023-02-15,2025-01-04,3,2,1,30,2023-04-01,2023-04-01,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,treatment,1,2025-01-04,2023-04-01,0,1
a28d3db9-fd62-4c13-a9d1-c7005d5d1d24,2023-12-06,2023-12-01,CANADA,,unknown,female,free,38,37,31,2022-12-08,2025-01-01,3,2,1,15,2023-10-02,2023-10-02,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-01,2023-10-02,0,1
8347ed16-be85-4d21-8b4e-3ba981768315,2024-01-08,2024-01-01,CANADA,,unknown,nonbinary,premium,40,40,34,2022-12-07,2024-12-30,3,1,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,control,0,2024-12-30,,1,0
64baf673-a489-4ff5-b2de-557a67bf7547,2024-07-28,2024-07-01,USA,16,18-24,female,free,35,34,28,2023-01-16,2025-01-28,6,3,0,0,,,0,1,0,0.000000,2.5000000,0.000000,0.000000,1.000000,2024-07-16,no_experiment,0,2025-01-28,,0,0
7079bd05-5e6e-4f9b-861e-56a0177702e7,2024-01-27,2024-01-01,CANADA,25,25-34,male,basic,31,31,28,2023-01-20,2025-01-13,3,2,1,15,2023-01-16,2023-02-15,1,1,0,3.000000,7.5000000,0.000000,1.000000,1.000000,2023-07-13,no_experiment,0,2025-01-13,2023-02-15,0,1
b6b9bfb0-a37a-46ca-9ead-48267727b843,2023-09-20,2023-09-01,USA,34,25-34,male,free,39,38,34,2022-12-10,2024-12-19,2,0,1,30,2023-06-27,2023-07-07,0,1,0,9.000000,0.0000000,1.000000,0.000000,1.000000,2024-03-06,control,0,2024-12-19,2023-07-07,12,1
7cb5a808-f507-42ba-ab17-b54123d9135c,2023-02-22,2023-02-01,MEXICO,,unknown,female,basic,47,45,34,2022-12-03,2024-10-06,0,0,1,0,2023-05-08,2023-05-08,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2024-10-06,2023-05-08,86,1
1e49d3f5-a348-46b6-873f-346dd1d83b87,2024-09-11,2024-09-01,CANADA,20,18-24,nonbinary,premium,40,38,30,2022-12-12,2025-01-15,2,1,1,0,2023-10-20,2023-10-30,0,1,0,7.000000,10.0000000,0.000000,0.000000,1.000000,2023-01-05,treatment,1,2025-01-15,2023-10-30,0,1
c7c769e7-ec58-4414-9e90-59c7484b95b5,2024-06-20,2024-06-01,MEXICO,70,60+,female,free,40,40,34,2022-12-13,2025-01-25,5,3,1,30,2023-01-19,2023-01-29,0,1,0,0.000000,10.0000000,0.000000,1.000000,1.000000,2024-06-18,control,0,2025-01-25,2023-01-29,0,1
87fdd439-a3e3-44c0-8a27-08c9134eafbc,2023-05-15,2023-05-01,UK,20,18-24,female,free,32,32,26,2023-01-09,2025-01-04,4,3,0,0,,,0,1,0,0.000000,0.0000000,0.000000,0.000000,1.000000,2024-02-03,no_experiment,0,2025-01-04,,0,0
914ebd14-ca92-45f6-abf9-af46108e4089,2024-02-26,2024-02-01,USA,28,25-34,male,free,31,30,27,2022-12-04,2025-01-25,3,2,0,0,,,0,0,1,0.000000,0.0000000,0.000000,0.000000,0.000000,,no_experiment,0,2025-01-25,,0,0
