user_id,signup_date,country,age,gender,plan_type,acquisition_channel,primary_device
87e41f6a-2200-4c2b-a038-f5df494fc2b3,25-04-2023,USA,36.0,female,basic,facebook_ads,ios
fbbdc842-a3f5-4a63-a8bc-0f10099b1d8c,12-07-2024,Canada,30.0,Femal,basic,facebook_ads,ios
5425383d-75c3-4f9f-8223-e9c49dfe4b04,Jun 01 2024,UK,120.0,Fmale,basic,referral,android
f2bf9257-ec9c-4232-ade0-d0946a9ace51,08/14/2023,Canada,47.0,prefer_not_to_say,basic,organic,ios
3ff4f7ff-9614-4bf8-8628-7a44233db13d,2024-03-08,USA,29.0,nonbinary,free,FB,android
7b1952a5-cb09-4df7-a97a-88bd1bb321d1,Apr 05 2023,USA,29.0,prefer_not_to_say,free,organic,android
f0de338a-897f-4b81-bfb1-68bc80d4a7a5,15-04-2024,Mexico,47.0,female,premium,google_ads,android
e9ef7c32-79d7-4a90-aab5-dde98738612d,14-08-2024,Mexico,39.0,Mle,basic,Fbook,ios
fe7a2668-7cba-49fc-a000-7584f179ef7b,03/23/2023,mexico,27.0,male,premium,google_ads,android
63945306-1945-4ec9-a654-41177c2844ad,16-06-2023,USA,37.0,nonbinary,free,referral,android
1a07d2c1-857b-417d-8c3f-6f89d9fd5fb7,09/15/2024,Mexico,,male,basic,Fbook,android
82053c65-c6de-4551-9fcb-3590795c3c77,07/24/2024,Canada,27.0,male,basic,organic,android
62cdb8be-6fb2-465b-bf76-0c0df97de000,02/02/2023,mexico,34.0,nonbinary,free,facebook_ads,web
9234a1c2-f865-4ab0-b19a-e46b61be34fc,08/06/2023,Mexico,16.0,prefer_not_to_say,free,Organic,android
f7b7e11c-ccc0-4c49-8cad-265700932644,05/23/2023,uk,16.0,male,basic,google_ads,android
e22980c1-0fba-41d7-9ac7-836c56d7a2a3,2024-08-20,UK,26.0,prefer_not_to_say,free,Email ,ios
c0827493-4380-41d0-83f3-3a5776b490aa,04-04-2023,UK,21.0,female,premium,facebook_ads,ios
