exp_assignment_id,user_id,experiment_name,variant,assignment_date
b68695ea-c79a-42f4-9e6c-45629b9f2d81,37489f5f-0d6c-4032-a9de-7b4a27898dd4,onboarding_v2,treatment,12/27/2022
257117cc-cb8f-4e4e-9ad0-37996fea224f,efa1eac4-c4ae-4672-940b-e8271d8c064a,onboarding_v2,TreatmentT,09/05/2023
663ae672-223e-4434-a8aa-86064f829f52,18d9a921-125a-4775-a48b-dcea07097d64,onboarding_v2,cotnrol,12/17/2023
5056e100-7585-4013-9ef4-f5238873079d,09f66cdf-ed9a-496f-93a6-00a409a23ed9,onboarding_v2,control,06/29/2024
d69a5acb-889f-4496-a0c5-4ea8d91356ee,41f9e0f2-be36-4cb9-8f0a-8d031dbdf53f,onboarding_v2,control,04/21/2024
f4a29e80-e35e-42ca-8686-057977a33d37,d40e2aad-5de4-4448-a87b-3b54a20829a1,onboarding_v2,control,06/12/2023
87fcc55f-06e4-4442-b8d7-7de2549488ee,5cc7f8b1-17ac-48ef-91bc-0137f3b4f07e,onboarding_v2,treatment,06/10/2023
03c2ddd0-2b58-4d1e-a9b9-52b5114ba462,b6432534-618f-4cb4-ba69-0560cbd7ef05,onboarding_v2,treatment,07/05/2024
e6d07171-183a-46c4-ad69-6fb241cd1c0c,63e70b5c-1437-4af9-b8b7-9760ece146f8,onboarding_v2,treatment,12/21/2023
8eec7d4f-c308-43c8-b3e7-c0f1b06d2d25,a5370a99-5ccf-4bbb-b56d-d5117f8ef88c,onboarding_v2,control,02/24/2024
4f817379-b568-429b-9b9d-cfa53e36ba20,c63ad4cb-e1ae-435a-b2c7-641fb2f31075,onboarding_v2,TreatmentT,06/09/2023
9091c657-981f-4c2b-b8ed-ae030975b966,8e93bc7c-a8b0-433c-b70d-f13ac9d7e2f4,onboarding_v2,TreatmentT,06/12/2024
a981fda2-c679-4cf7-8c72-1ce00996d4be,b9cb5773-46f8-4599-9547-3b758c863dbe,onboarding_v2,cntrl,04/10/2023
f73d0cfa-51e9-4c8c-9323-41cc4784e60d,0d1340d2-2792-46b2-9081-22b7b2196a00,onboarding_v2,TreatmentT,08/21/2024
608d5ca6-3517-4369-9601-b7ada23a822d,a8c00206-b2ce-47ca-b21e-5fde455bc9da,onboarding_v2,control,07/13/2024
df223603-a333-4eb6-a723-fd4c90da7214,2690218d-fe9b-445d-bfc8-b22c81d8625b,onboarding_v2,control,06/30/2024
e1e27cb9-a885-4c3b-9aca-5b3f1a714f21,2df75a1f-c745-4fce-8d0a-85416456ed8c,onboarding_v2,treatment,06/29/2023
7c39398c-7640-4af2-9b4f-122aaee998df,490e414b-8cca-4ba7-a61b-3af7b61ca4b2,onboarding_v2,TreatmentT,11/30/2023
8be00050-9b6f-4482-b13e-84f5455840bf,7d08bc1c-cdb3-498e-957f-b4213bad5b3a,onboarding_v2,treatment,06/08/2023
efd112eb-51f6-48c5-a986-24994716d955,32642561-32eb-49a4-a20f-38770586595e,onboarding_v2,cntrl,08/14/2024
e2a85773-db15-4fca-8536-62420ced47b8,2bc0e869-b1d4-4af9-9218-79d670501b75,onboarding_v2,cntrl,04/24/2023
e3ecd83a-80c9-4ce0-9c89-d135d8583f31,eb3a5827-8e70-412f-9d08-7b575ae935d8,onboarding_v2,control,12/21/2022
91f5e993-7adb-4ad5-bbca-f37be9954f8e,6f300da3-b69b-4ee2-9f4f-6b0efd0a6e98,onboarding_v2,control,09/08/2023
8dabb921-4c45-4974-b74e-175dab9f7251,1e6677de-15b4-4bc2-ab44-f83ec423516f,onboarding_v2,treatment,10/21/2023
1bbbdb0e-7c4c-4c54-8198-07b7b951f136,f8fde32f-9e22-4cbb-82c0-652946cd4b0a,onboarding_v2,cotnrol,07/21/2023
20334f19-adab-4f6e-94be-654a3cc92d14,a7ecac84-b920-4c3f-9504-38f904e72c73,onboarding_v2,cntrl,04/20/2024
6b9260f2-85b2-4d32-9a56-e9dd5e045734,ffb61c79-98c5-4707-8e3c-81a1bf360dd0,onboarding_v2,TreatmentT,12/14/2022
36dff1f1-43fa-4fa9-b4fa-fe29293f0777,06fecf91-9374-44d8-8b27-393c696b5d58,onboarding_v2,TreatmentT,08/15/2024
b9f3765f-11a5-48ed-b3b4-ce274c571b7e,d6199c9f-27e1-4b40-b5c0-558baef4dca5,onboarding_v2,TreatmentT,03/25/2023
a7411f3b-fd6a-4e69-8887-e480ac192c1e,1c816616-5b63-40d9-84f3-3769bcd26cf8,onboarding_v2,TreatmentT,12/04/2023
da0448d3-9686-4435-bf20-d2d83dfb9f10,02bf245b-2db1-466e-86d1-1c49062025e7,onboarding_v2,control,08/21/2023
77560cf6-65c3-4c9e-bdb0-8b199f73a974,bf75593a-92c5-4698-ab9b-e5f17fb8e396,onboarding_v2,treatment,03/06/2023
2292c7e9-0996-49f2-b30e-6b922b6f8bec,c7c78ce0-4e32-4fe6-8bdb-6e7b01747ed5,onboarding_v2,control,04/30/2024
2368afc9-f672-4c77-8271-20ea57060cef,c334ab0d-aa56-4101-aced-b87b3d3222ab,onboarding_v2,cntrl,12/16/2023
a14fc110-d9a3-4e5e-b9b6-191268f5e794,a25d9b80-d684-4f78-bed4-ee88e37d9655,onboarding_v2,cotnrol,07/29/2023
a4c19c19-0753-4961-8cd7-4190522bfe0c,aebafda4-732e-4eaf-be04-bb855dc4505c,onboarding_v2,control,03/06/2023
64c8ef41-5977-4754-b121-22a44db23a58,748c4139-5131-45dc-9465-96b89704dcb1,onboarding_v2,cotnrol,09/16/2023
19476e5c-4d21-421f-8a65-bd560b8b5fc8,f228fa05-2c4d-4733-b49b-5d799b067685,onboarding_v2,treatment,12/17/2024
77113514-806f-4e5f-b82c-e5bbeae064aa,ac91aabe-20f0-4118-b7e1-50c696f74e93,onboarding_v2,cntrl,08/03/2024
a386eeeb-e092-4b6b-a093-e339e229dd88,1bd3d96b-0f4d-43c5-b160-ae39e10be538,onboarding_v2,cntrl,12/11/2022
b73ef828-fa09-4da7-867f-f727528b68cc,8448f6c0-8d15-4a68-adbc-22d23665e1fc,onboarding_v2,cotnrol,06/02/2023
c5c135d7-813e-4064-a5d6-0a91cb4f7bfc,defb1ee4-7641-4424-a0ad-80bceccf3b8a,onboarding_v2,control,06/11/2024
6ab80e02-7e8b-464e-ae7d-b0d98f1ef18d,ff4a4cc9-3685-478f-866d-badc2f509aa3,onboarding_v2,cotnrol,02/28/2024
f7ed9297-9407-4346-9708-9ec96f915f26,ea67e4d2-254d-49e4-bb1c-dee72b26e0ac,onboarding_v2,TreatmentT,11/17/2024
7496b037-6af4-4605-8287-5a04ee4154e7,d8eb1a7b-7d31-49b2-8959-2f197df1ef93,onboarding_v2,control,02/23/2024
7c9e68a6-9513-4bd0-a19a-af0cfbaa7b62,6555fd13-271c-4060-99f7-47351630b00b,onboarding_v2,cntrl,08/31/2024
26a029e3-fbaa-40b0-9515-887101c442c7,a3d34bd2-f8c5-4483-8011-8070c492ce82,onboarding_v2,control,08/24/2023
000c1629-9bf5-471b-bdcd-656107970819,d24fad81-ba69-4b2e-8266-2545c1081789,onboarding_v2,TreatmentT,10/01/2023
4fd952a5-bbe4-47b6-9cac-4fbbf274b5e1,314742da-e6e3-4cd9-826b-a5afeb25bcdd,onboarding_v2,TreatmentT,09/07/2023
5524aa79-29af-4d42-9d11-a55066e433a2,2e6a85ff-2167-424c-8b98-6010bc97e330,onboarding_v2,treatment,11/19/2024
cbc6b054-aa0d-4189-929f-d75f177c9b1a,7630a892-316e-4adc-a196-927e0b4f90ab,onboarding_v2,control,01/11/2024
6cb79d43-e8a4-4f66-baa9-8830791696a7,7e7e2283-341c-44ea-96ba-b21a02307d46,onboarding_v2,cotnrol,04/11/2023
828c3f33-6547-4130-beec-64eb04a033d8,d32f2b52-b49d-44ff-97ee-40a4d40eb34d,onboarding_v2,control,12/19/2022
9c660d42-1397-4b75-af25-20cb62cbcab6,dc9b124f-169a-41ac-b908-2ace057af7bb,onboarding_v2,control,07/28/2023
f17d2448-65c9-4c21-9857-fcb78801088a,247921be-ee30-47ea-856c-9cb4eeea29e0,onboarding_v2,cotnrol,12/29/2023
5b305e1d-54ba-4d2b-b854-020d393ea45e,f4e19e58-4ad0-46c3-bb47-913d9c631af0,onboarding_v2,cotnrol,01/17/2023
5363c809-a332-4734-9047-862c335f214b,57d3ad25-27e4-4c3a-a4b3-2872393cc202,onboarding_v2,control,10/30/2023
ec000a8a-a2d2-43a9-a80b-0fd196d9c718,3c01904f-e279-4965-ac38-6f0cf8c7843c,onboarding_v2,cotnrol,03/26/2023
77c73120-b818-41ee-9618-a7e68fc5b7be,9e3eee2f-2bd8-4da8-90ec-f6696f265abe,onboarding_v2,cntrl,10/07/2024
70aeebf3-4399-4a07-9d3b-5556144dcf67,c1ec1dc4-8cce-4bf7-b410-0d94bad9c1fb,onboarding_v2,TreatmentT,01/09/2023
3787b740-475d-4dc6-bdba-14e510d18f4b,65ce157c-7b34-418e-ba93-a206d274b326,onboarding_v2,control,11/27/2022
94cc0f35-5b41-4703-8665-3a30e53febe3,2c70f718-6b07-4fbb-8e97-f9ae2c231b2a,onboarding_v2,cntrl,12/04/2022
337ebea0-70fe-4661-afdd-002175aae9e0,ced88348-f667-48a2-9723-e89c6ffcf53e,onboarding_v2,TreatmentT,06/17/2024
367754c8-2b8a-49aa-a091-b598dc320045,01b4b928-f90e-4ae8-bca2-94c20f1e8c4c,onboarding_v2,control,08/16/2023
5c9f14c7-a0e5-4be2-abba-bdbb0f6cb9aa,41bb0843-7e13-464d-aa68-aefda55b7630,onboarding_v2,cotnrol,02/05/2023
7a13e431-efd0-478e-81bb-c703ecf87ad4,91093e2b-e725-4cda-ad5f-f8c6d92306c8,onboarding_v2,treatment,11/08/2024
396403e9-d55e-402c-acdf-3b95f7104bd7,0e36b225-6f61-498d-a58d-6eaddeb689e7,onboarding_v2,treatment,03/04/2023
438d8f5b-e676-4195-8f54-54ac64b90f65,a2cc1c48-8274-48bb-9bc0-d125919620c0,onboarding_v2,control,11/03/2023
46be566e-9c89-4fe2-9708-e2d248af914b,9087b144-8503-4b4e-874b-0de9e040b83c,onboarding_v2,cntrl,03/08/2023
17438ef8-a9e0-4006-a2fe-9f6cb50ba252,ce14174d-f59c-4713-bc6a-8734f3e13457,onboarding_v2,TreatmentT,12/26/2024
4cb4182b-10eb-4866-b885-6633d3b8a140,f0330a0b-19de-450e-8f8a-05bf7606c174,onboarding_v2,treatment,11/21/2022
3101a1f6-41b0-4f77-ad88-48fae48c4a4e,49448b5f-bdf6-49da-b94a-6774466f3aa7,onboarding_v2,control,12/10/2024
925a7344-507c-4654-a005-4bfb4909baa1,f6077a6c-ed4b-4ecc-9226-dd07fb1ab521,onboarding_v2,TreatmentT,12/31/2023
1a42b66b-85b1-45ab-b93f-7167e8f021ef,859593cc-87b5-4662-b7a7-73f026305258,onboarding_v2,control,08/04/2023
6c821f15-73e2-49f5-aa3d-9b3d45f2af81,4c74962d-f9c7-4af1-a77e-157f84ab7ee3,onboarding_v2,TreatmentT,03/18/2023
d26d67a2-a531-4060-82c2-48740d8fa77b,dbb0e053-37a2-475e-83a0-8e0c47142267,onboarding_v2,control,03/27/2023
039b486d-a0e8-442e-af50-bd7cf15beb41,46f89ae7-314e-4093-9167-25dd630af4f9,onboarding_v2,TreatmentT,05/18/2024
4073870e-f134-42c5-b196-765383aff62c,49b8e74d-c174-4031-aaba-a8139b1b61a4,onboarding_v2,treatment,12/20/2022
d2b9bf2c-0f44-4787-a1f2-d14c46df5d0c,caa2a5c1-d2fe-46fd-a0d5-11de1e02aec1,onboarding_v2,cntrl,12/19/2024
fa157d07-38d1-4fdf-b140-5594c6548b3d,9db4447f-6293-4bb1-a291-a0c2d96b9162,onboarding_v2,cotnrol,11/10/2024
3a1d0daa-16e7-40c8-b478-ab334dfafd2f,62295571-367f-4cac-b881-6b98189923a3,onboarding_v2,cotnrol,09/12/2023
4cb920e6-2d6e-433e-a118-4c0acfeb74cb,1af83e07-2301-428c-8a36-2d869062219f,onboarding_v2,treatment,05/26/2024
5ac44677-c076-4706-80e8-226db106b6d8,9ebff16a-f2ec-41b5-adec-4987f9a05162,onboarding_v2,control,10/05/2023
8c77908f-9b8b-4e3a-b09b-492a3239f673,1e13ea0a-fcbb-4103-b783-36a2a68ceb8a,onboarding_v2,control,05/26/2023
23891434-c007-40b9-81c6-69eb003b4a4d,1899e940-41bf-4796-850d-a888a68ef186,onboarding_v2,cntrl,12/06/2022
dce17f2b-0ddb-405f-9802-c5fa5afcfd91,b4333111-5d7e-4cb1-9554-8ad83927ff20,onboarding_v2,treatment,11/29/2022
